Motion Sensor Data File Sep 25, 2018 1:54 PM
Time (s)	Velocity (cm/s)
0.000	NaN
0.010	31.433
0.020	29.670
0.030	25.413
0.040	21.930
0.050	20.253
0.060	15.480
0.070	12.040
0.080	9.933
0.090	4.730
0.100	0.903
0.110	-0.430
0.120	-5.977
0.130	-9.030
0.140	-12.857
0.150	-15.480
0.160	-19.737
0.170	-23.220
0.180	-25.327
0.190	-28.810
0.200	-31.777
0.210	-32.637
0.220	-35.690
0.230	-33.497
0.240	-43.000
0.250	-48.117
0.260	-43.000
0.270	-40.377
0.280	-41.237
0.290	-42.140
0.300	-40.377
0.310	-41.710
0.320	-41.237
0.330	-39.130
0.340	-39.947
0.350	-39.517
0.360	-37.410
0.370	-34.787
0.380	-33.970
0.390	-31.347
0.400	-27.520
0.410	-21.887
0.420	-19.780
0.430	-15.437
0.440	-12.900
0.450	-8.987
0.460	-12.040
0.470	-8.987
0.480	-6.020
0.490	0.903
0.500	3.870
0.510	4.343
0.520	11.180
0.530	15.953
0.540	19.780
0.550	23.693
0.560	26.230
0.570	28.810
0.580	31.433
0.590	35.260
0.600	36.163
0.610	38.270
0.620	41.280
0.630	41.323
0.640	42.570
0.650	44.333
0.660	43.860
0.670	44.290
0.680	45.193
0.690	43.430
0.700	42.570
0.710	43.043
0.720	40.420
0.730	38.743
0.740	38.270
0.750	34.830
0.760	32.723
0.770	30.100
0.780	28.423
0.790	24.510
0.800	21.070
0.810	18.963
0.820	14.620
0.830	10.793
0.840	8.600
0.850	3.483
0.860	0.000
0.870	-2.537
0.880	-7.740
0.890	-11.137
0.900	-13.330
0.910	-16.297
0.920	-20.640
0.930	-19.307
0.940	-27.090
0.950	-29.197
0.960	-29.240
0.970	-25.757
0.980	-18.877
0.990	-36.120
1.000	-29.197
1.010	-25.370
1.020	-41.667
1.030	-41.710
1.040	-43.387
1.050	-43.860
1.060	-42.527
1.070	-42.957
1.080	-42.570
1.090	-40.377
1.100	-39.990
1.110	-39.087
1.120	-35.260
1.130	-34.787
1.140	-32.207
1.150	-28.810
1.160	-26.617
1.170	-24.080
1.180	-21.457
1.190	-17.630
1.200	-17.587
1.210	-36.120
1.220	-36.077
1.230	-5.590
1.240	-2.967
1.250	-0.860
1.260	7.353
1.270	10.750
1.280	15.093
1.290	17.200
1.300	19.823
1.310	24.510
1.320	25.800
1.330	28.853
1.340	32.250
1.350	33.583
1.360	35.690
1.370	38.700
1.380	39.173
1.390	40.420
1.400	40.893
1.410	43.430
1.420	41.710
1.430	42.183
1.440	43.430
1.450	42.183
1.460	41.710
1.470	46.010
1.480	52.073
1.490	37.410
1.500	36.550
1.510	33.153
1.520	30.100
1.530	29.283
1.540	24.940
1.550	21.973
1.560	19.780
1.570	15.480
1.580	12.513
1.590	9.890
1.600	5.203
1.610	1.290
1.620	-2.537
1.630	-4.730
1.640	-10.707
1.650	-13.760
1.660	-16.297
1.670	-20.210
1.680	-23.177
1.690	-24.940
1.700	-29.197
1.710	-31.820
1.720	-32.207
1.730	-36.077
1.740	-37.840
1.750	-51.127
1.760	-46.010
1.770	-42.527
1.780	-40.850
1.790	-42.957
1.800	-42.097
1.810	-42.570
1.820	-40.807
1.830	-41.280
1.840	-39.947
1.850	-37.797
1.860	-37.410
1.870	-35.647
1.880	-32.250
1.890	-31.347
1.900	-29.240
1.910	-24.897
1.920	-23.650
1.930	-20.167
1.940	-16.340
1.950	-14.147
1.960	-10.750
1.970	-6.407
1.980	-4.300
1.990	-1.247
2.000	9.890
2.010	10.363
2.020	12.470
2.030	37.883
2.040	24.940
2.050	28.380
2.060	40.033
2.070	27.520
2.080	29.283
2.090	31.820
2.100	34.873
2.110	35.260
2.120	36.980
2.130	39.173
2.140	22.790
2.150	35.303
2.160	40.850
2.170	38.700
2.180	24.553
2.190	36.550
2.200	39.560
2.210	40.033
2.220	39.560
2.230	37.883
2.240	35.260
2.250	34.400
2.260	32.723
2.270	30.960
2.280	28.423
2.290	26.660
2.300	22.403
2.310	19.350
2.320	17.630
2.330	12.943
2.340	9.030
2.350	7.353
2.360	2.580
2.370	-1.247
2.380	-3.440
2.390	-8.557
2.400	-11.610
2.410	-14.147
2.420	-18.490
2.430	-21.887
2.440	-24.940
2.450	-26.187
2.460	-30.530
2.470	-33.067
2.480	-33.497
2.490	-37.410
2.500	-38.657
2.510	-39.130
2.520	-41.237
2.530	-42.570
2.540	-41.667
2.550	-43.387
2.560	-43.860
2.570	-41.667
2.580	-43.000
2.590	-42.097
2.600	-39.560
2.610	-39.517
2.620	-37.797
2.630	-34.830
2.640	-33.497
2.650	-31.390
2.660	-29.197
2.670	-24.510
2.680	-22.747
2.690	-20.210
2.700	-15.007
2.710	-13.330
2.720	-9.847
2.730	-4.730
2.740	-2.967
2.750	0.860
2.760	5.633
2.770	7.740
2.780	11.653
2.790	15.910
2.800	18.103
2.810	21.070
2.820	25.800
2.830	27.133
2.840	29.670
2.850	32.293
2.860	35.260
2.870	36.593
2.880	37.840
2.890	40.420
2.900	40.893
2.910	41.280
2.920	43.430
2.930	42.183
2.940	42.570
2.950	42.613
2.960	41.280
2.970	40.420
2.980	40.463
2.990	37.840
3.000	36.163
3.010	35.260
3.020	31.390
3.030	29.713
3.040	27.520
3.050	23.693
3.060	20.640
3.070	17.630
3.080	15.523
3.090	10.750
3.100	7.353
3.110	5.590
3.120	0.473
3.130	-3.010
3.140	-5.547
3.150	-9.890
3.160	-13.287
3.170	-15.480
