Motion Sensor Data File Sep 20, 2018 1:40 PM
Time (s)	Velocity (cm/s)
0.430	NaN
0.440	0.881
0.450	5.612
0.460	8.643
0.470	12.040
0.480	16.770
0.490	19.823
0.500	22.790
0.510	25.843
0.520	30.530
0.530	31.433
0.540	34.400
0.550	38.313
0.560	39.130
0.570	40.850
0.580	43.473
0.590	43.000
0.600	43.903
0.610	45.150
0.620	44.333
0.630	43.860
0.640	44.720
0.650	42.613
0.660	41.280
0.670	40.893
0.680	37.410
0.690	35.690
0.700	32.723
0.710	31.820
0.720	27.563
0.730	24.510
0.740	22.403
0.750	18.060
0.760	13.803
0.770	11.610
0.780	6.063
0.790	2.580
0.800	0.043
0.810	-5.160
0.820	-9.009
0.830	-11.158
0.840	-16.297
0.850	-20.210
0.860	-21.887
0.870	-26.660
0.880	-29.627
0.890	-32.637
0.900	-33.540
0.910	-37.367
0.920	-39.130
0.930	-39.517
0.940	-42.527
0.950	-43.430
0.960	-43.387
0.970	-44.677
0.980	-45.150
0.990	-43.387
1.000	-44.290
1.010	-43.387
1.020	-40.807
1.030	-40.850
1.040	-38.657
1.050	-35.260
1.060	-34.357
1.070	-31.347
1.080	-28.810
1.090	-24.058
1.100	-22.360
1.110	-19.285
1.120	-13.760
1.130	-11.997
1.140	-7.310
1.150	-2.107
1.160	0.000
1.170	3.913
1.180	8.600
1.190	11.653
1.200	15.050
1.210	20.231
1.220	21.952
1.230	25.413
1.240	29.670
1.250	31.433
1.260	33.540
1.270	36.163
1.280	39.560
1.290	39.990
1.300	41.753
1.310	44.290
1.320	43.473
1.330	43.839
1.340	45.601
1.350	43.903
1.360	43.430
1.370	43.903
1.380	41.710
1.390	40.463
1.400	39.560
1.410	36.550
1.420	34.013
1.430	32.250
1.440	28.853
1.450	25.370
1.460	23.693
1.470	18.490
1.480	14.663
1.490	11.180
1.500	8.213
1.510	3.440
1.520	-0.817
1.530	-2.580
1.540	-8.127
1.550	-11.610
1.560	-14.147
1.570	-18.490
1.580	-22.747
1.590	-24.080
1.600	-28.767
1.610	-31.777
1.620	-33.110
1.630	-36.937
1.640	-39.130
1.650	-39.517
1.660	-42.097
1.670	-43.860
1.680	-44.247
1.690	-43.430
1.700	-44.677
1.710	-44.677
1.720	-43.000
1.730	-43.387
1.740	-42.527
1.750	-39.560
1.760	-39.517
1.770	-36.980
1.780	-33.497
1.790	-32.637
1.800	-29.240
1.810	-25.327
1.820	-23.241
1.830	-20.145
1.840	-14.620
1.850	-12.857
1.860	-9.030
1.870	-5.117
1.880	0.000
1.890	2.623
1.900	6.020
1.910	11.653
1.920	13.330
1.930	18.103
1.940	22.360
1.950	24.553
1.960	27.950
1.970	31.863
1.980	33.110
1.990	35.303
2.000	39.130
2.010	39.130
2.020	41.323
2.030	43.430
2.040	43.473
2.050	43.430
2.060	44.290
2.070	45.193
2.080	43.430
2.090	43.043
2.100	43.000
2.110	40.463
2.120	38.700
2.130	37.840
2.140	34.443
2.150	31.390
2.160	30.143
2.170	25.800
2.180	22.833
2.190	20.210
2.200	15.953
2.210	12.040
2.220	9.933
2.230	4.730
2.240	0.903
2.250	-3.010
2.260	-5.117
2.270	-10.750
2.280	-14.147
2.290	-16.340
2.300	-21.457
2.310	-24.940
2.320	-27.047
2.330	-30.917
2.340	-33.540
2.350	-34.787
2.360	-38.270
2.370	-39.947
2.380	-39.947
2.390	-42.570
2.400	-43.817
2.410	-43.000
2.420	-44.247
2.430	-44.677
2.440	-43.860
2.450	-42.527
2.460	-42.140
2.470	-41.237
2.480	-38.227
2.490	-37.840
2.500	-35.217
2.510	-31.820
2.520	-30.057
2.530	-27.047
2.540	-22.360
2.550	-20.597
2.560	-16.770
2.570	-11.997
2.580	-10.320
2.590	-5.977
2.600	-0.860
2.610	1.763
2.620	5.590
2.630	9.503
2.640	13.760
2.650	16.813
2.660	20.210
2.670	24.983
2.680	26.660
2.690	29.713
2.700	33.540
2.710	34.873
2.720	36.980
2.730	39.990
2.740	40.463
2.750	41.710
2.760	43.903
2.770	43.430
2.780	43.860
2.790	45.193
2.800	43.430
2.810	43.043
2.820	43.000
2.830	40.893
2.840	38.700
2.850	36.980
2.860	36.163
2.870	32.250
2.880	29.283
2.890	27.520
2.900	23.693
2.910	19.780
2.920	17.673
2.930	12.900
2.940	9.503
2.950	6.880
2.960	1.763
2.970	-2.150
2.980	-4.257
2.990	-9.890
3.000	-13.287
3.010	-15.910
3.020	-20.597
3.030	-24.080
3.040	-27.047
3.050	-29.197
3.060	-32.680
3.070	-35.668
3.080	-36.099
3.090	-39.087
3.100	-41.237
3.110	-40.850
3.120	-43.387
3.130	-44.290
3.140	-42.957
3.150	-44.677
3.160	-44.290
3.170	-42.527
3.180	-42.570
3.190	-42.097
3.200	-39.087
3.210	-38.270
3.220	-35.647
3.230	-33.540
3.240	-29.627
3.250	-27.477
3.260	-24.510
3.270	-19.737
3.280	-18.490
3.290	-14.147
3.300	-9.460
3.310	-7.267
3.320	-3.440
3.330	2.193
3.340	4.300
3.350	8.213
3.360	13.330
3.370	15.953
3.380	19.780
3.390	24.553
3.400	26.230
3.410	28.853
3.420	31.390
3.430	35.303
3.440	36.120
3.450	38.270
3.460	41.323
3.470	41.710
3.480	42.613
3.490	44.720
3.500	43.839
3.510	43.924
3.520	45.150
3.530	43.043
3.540	42.140
3.550	42.183
3.560	39.130
3.570	37.410
3.580	36.593
3.590	32.680
3.600	30.143
3.610	27.090
3.620	25.843
3.630	21.070
3.640	18.103
3.650	15.480
3.660	10.793
3.670	6.880
3.680	3.913
3.690	-0.430
3.700	-5.117
3.710	-6.880
3.720	-12.857
3.730	-15.932
3.740	-18.425
3.750	-23.650
3.760	-26.187
3.770	-28.380
3.780	-32.207
3.790	-34.787
3.800	-36.550
3.810	-37.367
3.820	-40.420
3.830	-42.097
3.840	-41.237
3.850	-44.290
3.860	-44.247
3.870	-43.387
3.880	-44.290
3.890	-43.817
3.900	-41.710
3.910	-41.667
3.920	-40.377
3.930	-37.410
3.940	-36.077
3.950	-33.970
3.960	-30.057
3.970	-28.337
3.980	-25.370
3.990	-21.027
4.000	-19.350
4.010	-15.007
4.020	-11.610
4.030	-6.837
4.040	-4.300
4.050	-0.387
4.060	4.730
4.070	7.783
4.080	10.728
4.090	15.975
4.100	18.490
4.110	21.543
4.120	26.230
4.130	27.993
4.140	30.530
4.150	34.443
4.160	35.260
4.170	37.840
4.180	40.893
4.190	40.850
4.200	42.183
4.210	42.570
4.220	45.150
4.230	43.473
4.240	43.430
4.250	44.333
4.260	42.570
4.270	40.893
4.280	40.850
4.290	37.410
4.300	35.303
4.310	34.400
4.320	30.573
4.330	27.950
4.340	26.273
4.350	21.930
4.360	18.533
4.370	16.340
4.380	11.653
4.390	7.740
4.400	3.913
4.410	1.290
4.420	-3.827
4.430	-8.170
4.440	-10.277
4.450	-15.480
4.460	-18.877
4.470	-21.070
4.480	-25.757
4.490	-28.380
4.500	-30.057
4.510	-33.497
4.520	-36.120
4.530	-36.507
4.540	-39.990
4.550	-41.237
4.560	-40.807
4.570	-43.860
4.580	-43.817
4.590	-44.290
4.600	-42.957
4.610	-44.247
4.620	-43.430
4.630	-40.829
4.640	-40.786
4.650	-38.700
4.660	-35.647
4.670	-33.970
4.680	-31.777
4.690	-27.520
4.700	-25.757
4.710	-23.177
4.720	-18.490
4.730	-16.297
4.740	-12.900
4.750	-7.697
4.760	-5.160
4.770	-0.817
4.780	2.580
4.790	7.783
4.800	10.750
4.810	13.803
4.820	19.350
4.830	20.683
4.840	24.080
4.850	28.423
4.860	30.100
4.870	32.293
4.880	36.550
4.890	36.980
4.900	39.173
4.910	42.140
4.920	41.753
4.930	42.570
4.940	44.720
4.950	43.903
4.960	43.430
4.970	43.043
4.980	43.430
4.990	41.323
5.000	39.990
5.010	39.130
5.020	36.593
5.030	33.970
5.040	32.723
5.050	28.810
5.060	26.273
5.070	24.080
5.080	19.393
5.090	15.910
5.100	13.803
5.110	8.170
5.120	4.773
5.130	2.150
5.140	-2.967
5.150	-7.310
5.160	-9.417
5.170	-14.190
5.180	-17.587
5.190	-21.500
5.200	-23.177
5.210	-27.520
5.220	-30.487
5.230	-31.777
5.240	-35.260
5.250	-37.797
5.260	-38.270
5.270	-40.807
5.280	-42.527
5.290	-42.140
5.300	-44.247
5.310	-44.290
5.320	-42.527
5.330	-43.817
5.340	-43.430
5.350	-40.807
5.360	-40.850
5.370	-39.087
5.380	-36.937
5.390	-33.970
5.400	-32.207
5.410	-30.100
5.420	-25.757
5.430	-24.037
5.440	-20.640
5.450	-16.297
5.460	-13.760
5.470	-10.277
5.480	-5.160
5.490	-2.107
5.500	1.720
5.510	6.923
5.520	9.030
5.530	12.513
5.540	18.060
5.550	19.393
5.560	22.790
5.570	26.273
5.580	30.100
5.590	31.433
5.600	34.400
5.610	37.840
5.620	38.743
5.630	40.420
5.640	43.043
5.650	42.570
5.660	43.043
5.670	44.720
5.680	43.430
5.690	43.043
5.700	43.430
5.710	41.323
5.720	39.560
5.730	39.990
5.740	36.593
5.750	33.970
5.760	32.293
5.770	30.960
5.780	26.273
5.790	23.650
5.800	21.973
5.810	16.770
5.820	13.373
5.830	10.750
5.840	5.590
5.850	1.333
5.860	-0.817
5.870	-6.020
5.880	-9.417
5.890	-12.470
5.900	-16.727
5.910	-20.210
5.920	-22.317
5.930	-26.230
5.940	-29.197
5.950	-32.207
5.960	-33.110
5.970	-36.937
5.980	-38.700
5.990	-39.517
6.000	-41.667
6.010	-43.000
6.020	-42.097
6.030	-44.290
6.040	-44.247
6.050	-42.097
6.060	-43.430
6.070	-42.097
6.080	-39.560
6.090	-39.517
6.100	-37.367
6.110	-33.970
6.120	-33.067
6.130	-30.530
6.140	-27.477
6.150	-23.177
6.160	-21.500
6.170	-18.017
6.180	-12.900
6.190	-10.707
6.200	-7.331
6.210	-2.086
6.220	0.860
6.230	4.773
6.240	9.460
6.250	11.653
6.260	15.910
6.270	19.823
6.280	22.360
6.290	25.413
6.300	29.670
6.310	31.003
6.320	33.540
6.330	35.690
6.340	39.603
6.350	39.560
6.360	40.893
6.370	43.430
6.380	43.043
6.390	43.000
6.400	44.720
6.410	43.043
6.420	42.140
6.430	43.043
6.440	40.420
6.450	39.130
6.460	38.313
6.470	35.260
6.480	32.723
6.490	31.820
6.500	27.133
6.510	24.080
6.520	21.973
6.530	17.630
6.540	13.373
6.550	9.890
6.560	7.740
6.570	2.623
6.580	-1.247
6.590	-3.440
6.600	-8.557
6.610	-12.470
6.620	-14.147
6.630	-19.350
6.640	-22.747
6.650	-24.510
6.660	-29.197
6.670	-31.347
6.680	-33.110
6.690	-36.507
6.700	-38.270
6.710	-39.087
6.720	-41.667
6.730	-42.570
6.740	-43.387
6.750	-42.570
6.760	-43.839
6.770	-43.795
6.780	-42.140
6.790	-42.097
6.800	-41.280
6.810	-38.657
6.820	-38.227
6.830	-36.120
6.840	-32.637
6.850	-31.390
6.860	-28.767
6.870	-24.037
6.880	-22.360
6.890	-18.877
6.900	-14.190
6.910	-11.137
6.920	-8.170
6.930	-4.257
6.940	0.860
6.950	3.483
6.960	6.880
6.970	12.083
6.980	14.190
6.990	18.103
7.000	22.790
7.010	24.123
7.020	27.520
7.030	31.863
7.040	33.110
7.050	35.690
7.060	38.743
7.070	39.130
7.080	40.893
7.090	43.000
7.100	42.183
7.110	43.000
7.120	43.430
7.130	44.333
7.140	42.570
7.150	41.753
7.160	41.710
7.170	39.130
7.180	37.453
7.190	36.980
7.200	33.153
7.210	30.530
7.220	29.283
7.230	24.940
7.240	21.973
7.250	19.350
7.260	14.663
7.270	11.180
7.280	9.073
7.290	3.440
7.300	0.043
7.310	-3.440
7.320	-6.407
7.330	-10.750
7.340	-14.577
7.350	-16.770
7.360	-21.887
7.370	-24.940
7.380	-26.617
7.390	-30.917
7.400	-33.110
7.410	-34.357
7.420	-37.862
7.430	-39.496
7.440	-39.947
7.450	-41.710
7.460	-43.387
7.470	-42.140
7.480	-43.817
7.490	-43.387
7.500	-43.430
7.510	-40.807
7.520	-41.710
7.530	-39.947
7.540	-36.937
7.550	-36.550
7.560	-33.927
7.570	-30.530
7.580	-29.197
7.590	-25.757
7.600	-21.930
