Motion Sensor Data File Sep 25, 2018 1:54 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.000	25.334	0.239
0.010	25.648	0.239
0.020	25.945	0.239
0.030	26.199	0.239
0.040	26.418	0.239
0.050	26.621	0.239
0.060	26.776	0.239
0.070	26.896	0.239
0.080	26.995	0.239
0.090	27.043	0.239
0.100	27.052	0.239
0.110	27.047	0.239
0.120	26.988	0.239
0.130	26.897	0.239
0.140	26.769	0.239
0.150	26.614	0.239
0.160	26.417	0.239
0.170	26.184	0.239
0.180	25.931	0.239
0.190	25.643	0.239
0.200	25.325	0.239
0.210	24.999	0.239
0.220	24.642	0.239
0.230	24.307	0.239
0.240	23.877	0.239
0.250	23.396	0.239
0.260	22.966	0.239
0.270	22.562	0.239
0.280	22.150	0.239
0.290	21.728	0.239
0.300	21.325	0.239
0.310	20.907	0.239
0.320	20.495	0.239
0.330	20.104	0.239
0.340	19.704	0.239
0.350	19.309	0.239
0.360	18.935	0.239
0.370	18.587	0.239
0.380	18.247	0.239
0.390	17.934	0.239
0.400	17.659	0.239
0.410	17.440	0.239
0.420	17.242	0.239
0.430	17.088	0.239
0.440	16.959	0.239
0.450	16.869	0.239
0.460	16.748	0.239
0.470	16.659	0.239
0.480	16.598	0.239
0.490	16.607	0.239
0.500	16.646	0.239
0.510	16.690	0.239
0.520	16.801	0.239
0.530	16.961	0.239
0.540	17.159	0.239
0.550	17.396	0.239
0.560	17.658	0.239
0.570	17.946	0.239
0.580	18.260	0.239
0.590	18.613	0.239
0.600	18.975	0.239
0.610	19.357	0.239
0.620	19.770	0.239
0.630	20.183	0.239
0.640	20.609	0.239
0.650	21.052	0.239
0.660	21.491	0.239
0.670	21.934	0.239
0.680	22.386	0.239
0.690	22.820	0.239
0.700	23.246	0.239
0.710	23.676	0.239
0.720	24.080	0.239
0.730	24.468	0.239
0.740	24.851	0.239
0.750	25.199	0.239
0.760	25.526	0.239
0.770	25.827	0.239
0.780	26.111	0.239
0.790	26.356	0.239
0.800	26.567	0.239
0.810	26.757	0.239
0.820	26.903	0.239
0.830	27.011	0.239
0.840	27.097	0.239
0.850	27.132	0.239
0.860	27.132	0.239
0.870	27.106	0.239
0.880	27.029	0.239
0.890	26.918	0.239
0.900	26.784	0.239
0.910	26.621	0.239
0.920	26.415	0.239
0.930	26.222	0.239
0.940	25.951	0.239
0.950	25.659	0.239
0.960	25.367	0.239
0.970	25.109	0.239
0.980	24.920	0.239
0.990	24.559	0.239
1.000	24.267	0.239
1.010	24.013	0.239
1.020	23.597	0.239
1.030	23.180	0.239
1.040	22.746	0.239
1.050	22.307	0.239
1.060	21.882	0.239
1.070	21.452	0.239
1.080	21.027	0.239
1.090	20.623	0.239
1.100	20.223	0.239
1.110	19.832	0.239
1.120	19.479	0.239
1.130	19.132	0.239
1.140	18.809	0.239
1.150	18.521	0.239
1.160	18.255	0.239
1.170	18.014	0.239
1.180	17.800	0.239
1.190	17.624	0.239
1.200	17.448	0.239
1.210	17.086	0.239
1.220	16.726	0.239
1.230	16.670	0.239
1.240	16.640	0.239
1.250	16.632	0.239
1.260	16.705	0.239
1.270	16.813	0.239
1.280	16.963	0.239
1.290	17.135	0.239
1.300	17.334	0.239
1.310	17.579	0.239
1.320	17.837	0.239
1.330	18.125	0.239
1.340	18.448	0.239
1.350	18.784	0.239
1.360	19.141	0.239
1.370	19.528	0.239
1.380	19.919	0.239
1.390	20.324	0.239
1.400	20.732	0.239
1.410	21.167	0.239
1.420	21.584	0.239
1.430	22.006	0.239
1.440	22.440	0.239
1.450	22.862	0.239
1.460	23.279	0.239
1.470	23.739	0.239
1.480	24.260	0.239
1.490	24.634	0.239
1.500	24.999	0.239
1.510	25.331	0.239
1.520	25.632	0.239
1.530	25.925	0.239
1.540	26.174	0.239
1.550	26.394	0.239
1.560	26.592	0.239
1.570	26.746	0.239
1.580	26.872	0.239
1.590	26.970	0.239
1.600	27.022	0.239
1.610	27.035	0.239
1.620	27.010	0.239
1.630	26.963	0.239
1.640	26.856	0.239
1.650	26.718	0.239
1.660	26.555	0.239
1.670	26.353	0.239
1.680	26.121	0.239
1.690	25.872	0.239
1.700	25.580	0.239
1.710	25.262	0.239
1.720	24.940	0.239
1.730	24.579	0.239
1.740	24.200	0.239
1.750	23.689	0.239
1.760	23.229	0.239
1.770	22.804	0.239
1.780	22.395	0.239
1.790	21.966	0.239
1.800	21.545	0.239
1.810	21.119	0.239
1.820	20.711	0.239
1.830	20.298	0.239
1.840	19.899	0.239
1.850	19.521	0.239
1.860	19.147	0.239
1.870	18.790	0.239
1.880	18.468	0.239
1.890	18.154	0.239
1.900	17.862	0.239
1.910	17.613	0.239
1.920	17.376	0.239
1.930	17.175	0.239
1.940	17.011	0.239
1.950	16.870	0.239
1.960	16.762	0.239
1.970	16.698	0.239
1.980	16.655	0.239
1.990	16.643	0.239
