Motion Sensor Data File Sep 20, 2018 1:40 PM
Time (s)	Distance (cm)	Dist Error (cm)
0.430	16.500	0.239
0.440	16.509	0.239
0.450	16.565	0.239
0.460	16.651	0.239
0.470	16.772	0.239
0.480	16.939	0.239
0.490	17.138	0.239
0.500	17.366	0.239
0.510	17.624	0.239
0.520	17.929	0.239
0.530	18.244	0.239
0.540	18.588	0.239
0.550	18.971	0.239
0.560	19.362	0.239
0.570	19.771	0.239
0.580	20.205	0.239
0.590	20.635	0.239
0.600	21.074	0.239
0.610	21.526	0.239
0.620	21.969	0.239
0.630	22.408	0.239
0.640	22.855	0.239
0.650	23.281	0.239
0.660	23.694	0.239
0.670	24.103	0.239
0.680	24.477	0.239
0.690	24.834	0.239
0.700	25.161	0.239
0.710	25.479	0.239
0.720	25.755	0.239
0.730	26.000	0.239
0.740	26.224	0.239
0.750	26.405	0.239
0.760	26.543	0.239
0.770	26.659	0.239
0.780	26.719	0.239
0.790	26.745	0.239
0.800	26.746	0.239
0.810	26.694	0.239
0.820	26.604	0.239
0.830	26.492	0.239
0.840	26.329	0.239
0.850	26.127	0.239
0.860	25.908	0.239
0.870	25.642	0.239
0.880	25.345	0.239
0.890	25.019	0.239
0.900	24.684	0.239
0.910	24.310	0.239
0.920	23.919	0.239
0.930	23.524	0.239
0.940	23.098	0.239
0.950	22.664	0.239
0.960	22.230	0.239
0.970	21.783	0.239
0.980	21.332	0.239
0.990	20.898	0.239
1.000	20.455	0.239
1.010	20.021	0.239
1.020	19.613	0.239
1.030	19.205	0.239
1.040	18.818	0.239
1.050	18.465	0.239
1.060	18.122	0.239
1.070	17.808	0.239
1.080	17.520	0.239
1.090	17.280	0.239
1.100	17.056	0.239
1.110	16.863	0.239
1.120	16.726	0.239
1.130	16.606	0.239
1.140	16.533	0.239
1.150	16.512	0.239
1.160	16.512	0.239
1.170	16.551	0.239
1.180	16.637	0.239
1.190	16.753	0.239
1.200	16.904	0.239
1.210	17.106	0.239
1.220	17.326	0.239
1.230	17.580	0.239
1.240	17.876	0.239
1.250	18.191	0.239
1.260	18.526	0.239
1.270	18.888	0.239
1.280	19.283	0.239
1.290	19.683	0.239
1.300	20.101	0.239
1.310	20.544	0.239
1.320	20.978	0.239
1.330	21.417	0.239
1.340	21.873	0.239
1.350	22.312	0.239
1.360	22.746	0.239
1.370	23.185	0.239
1.380	23.602	0.239
1.390	24.007	0.239
1.400	24.402	0.239
