 Radioactive Decay Experiment Oct 1, 2018 3:37 PM
Sample Number	Number of Counts
1	1789
2	1537
3	1457
4	1312
5	1223
6	1211
7	989
8	935
9	918
10	789
11	750
12	655
13	583
14	567
15	546
16	481
17	435
18	396
19	351
20	329
21	313
22	274
23	225
24	228
25	212
26	199
27	180
28	168
29	138
30	138
31	109
32	105
33	104
34	93
35	93
36	66
37	68
38	66
39	61
40	53
41	59
42	49
43	43
44	31
45	50
46	29
47	28
48	33
49	34
50	30
51	18
52	22
53	18
54	19
55	14
56	7
57	10
58	18
59	12
60	9
